figure_id,group,title,science_question,tier,script,png,source_data,protocol,seed_fold,sample_note
F01.01,01_dataset,"Dataset overview: subjects, stimuli, official folds","Who is in the dataset, what do they view, how are folds composed?",main,presentation/scripts/make_dataset_figs.py,figures/01_dataset/F01.01_dataset_overview.png,metadata.csv; Images/*; fixations cache,n/a,n/a,160 subjects / 100 stimuli
F01.02,01_dataset,Gaze signatures: subject-level distributions + scanpaths,"How do groups differ in gaze statistics, and what do their scanpaths look like?",main,presentation/scripts/make_dataset_figs.py,figures/01_dataset/F01.02_gaze_signatures.png,"fixations cache (cleaned, train); Images/*",n/a,n/a,n=80 HC / 80 SZ subjects; 4 stimuli x 2 subjects
F02.01,02_features,The 45 hand-crafted features: groups + examples,What features encode the gaze signal?,main,presentation/scripts/make_feature_figs.py,figures/02_features/F02.01_feature_overview.png,src/features.py definitions,n/a,n/a,45 features
F02.02,02_features,HC-SZ effect sizes for all 45 features + rainclouds + category profiles,"Which features discriminate groups, and how does the signal depend on category?",main,presentation/scripts/make_feature_figs.py,figures/02_features/F02.02_effect_sizes.png,stimulus_features_train.pkl,n/a,n/a,n=80/80 subjects; 4 features x 4 categories
F03.01,03_methodology,Architecture diagram (matches model.py),How does the proposed pipeline work exactly?,main,presentation/scripts/make_methodology_figs.py,figures/03_methodology/F03.01_architecture.png,src/proposal/model.py (verified),n/a,n/a,tensor shapes as in code
F03.02,03_methodology,Evaluation protocols P1 / P2 / official test,How are models trained and evaluated?,main,presentation/scripts/make_methodology_figs.py,figures/03_methodology/F03.02_protocols.png,data/common.py; test_model/eval.py,n/a,n/a,protocols
F04.01,04_ablations,Learned vs hard normative deviation,Does learning the deviation beat fixed hard deviations?,main,presentation/scripts/make_ablation_figs.py,figures/04_ablations/F04.01_learned_vs_hard.png,"allfolds_summary.json (mlp_mean, z_mean, diff_mean, mahal_mean)",P1 4-fold,5 seeds,paired t on 5 seed values
F04.02,04_ablations,Hard-deviation chain: diff -> z -> mahal,What do HC conditioning and the mahal scalar add step by step?,main,presentation/scripts/make_ablation_figs.py,figures/04_ablations/F04.02_hard_chain.png,allfolds_summary.json (hard configs),P1 4-fold,5 seeds,paired t on 5 seed values
F04.03,04_ablations,Learned comparator vs fixed latent subtraction,Does the learned comparator g_phi help?,main,presentation/scripts/make_ablation_figs.py,figures/04_ablations/F04.03_comparator.png,allfolds_summary.json (mlp/sub/zsub_attn),P1 4-fold,5 seeds,paired t on 5 seed values
F04.04,04_ablations,Stimulus pooling: attention vs mean vs deepset,How does stimulus-set aggregation affect results?,main,presentation/scripts/make_ablation_figs.py,figures/04_ablations/F04.04_pooling.png,allfolds_summary.json (mlp_attn/mean/deepset),P1 4-fold,5 seeds,paired t on 5 seed values
F04.05,04_ablations,HC concentration regularization lambda_norm,"Does lambda=0.1 help, and is there an accuracy trade-off?",main,presentation/scripts/make_ablation_figs.py,figures/04_ablations/F04.05_lambda_norm.png,"allfolds_summary.json (mlp_attn, mlp_norm01)",P1 4-fold,5 seeds,paired t on 5 seed values
F04.06,04_ablations,Stimulus budget sensitivity K=25/50/100,"How many stimuli are needed, which deviation transfers better?",supp,presentation/scripts/make_ablation_figs.py,figures/04_ablations/F04.06_stimulus_budget.png,outputs/evaluation/cross_stimulus.csv; xstim_* summaries,P1 4-fold retrain per K,seed 42,same subset across folds; NOT an unseen-stimulus test
F05.01,05_latent_distribution,Learned latent space vs the HC normative bank (PCA + heatmap + lambda diagnostics),"Where do SZ live relative to the HC norm, and is the norm stable?",main,presentation/scripts/make_latent_figs.py,figures/05_latent_distribution/F05.01_normative_latent.png,"cache/latent mlp_norm01 + mlp_attn seed42 (z, bank, ref_z)",P1 out-of-fold,seed 42,160 eval + train-HC ref subjects x 100 stimuli
F06.01,06_importance_xai,"Feature + stimulus importance (permutation, attention, leave-one-out)",Which features and stimuli drive the prediction?,main,presentation/scripts/make_xai_figs.py,figures/06_importance_xai/F06.01_importance.png,checkpoints mlp_norm01 + z_mean seed42 (permutation on Set_1 val); attn exports; LOO on Set_0 val model,P1 fold Set_1 val / Set_0 val,seed 42,"40 val subjects, 8-10 repeats"
